City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,ilha de mocambique,-15.0342,40.7358,29.726,64,14,6.12,MZ,1720327177
283,usinsk,65.9939,57.5281,29.785000000000004,56,54,6.91,RU,1720327178
284,ola,59.5833,151.2833,28.605,86,100,3.5,RU,1720327180
285,mbanza kongo,-6.267,14.2401,29.182,79,100,2.49,AO,1720327181
286,rijau,11.103,5.2507,29.637,87,98,2.19,NG,1720327184
287,zmeinogorsk,51.1567,82.195,29.525,71,82,4.41,RU,1720327186
288,simanggang,1.2472,111.4528,29.913999999999998,89,40,1.03,MY,1720327187
289,soio,-6.1349,12.3689,29.466,81,98,2.77,AO,1720327189
290,lingig,8.0389,126.4125,30.299,63,100,2.74,PH,1720327191
291,bafq,31.6128,55.4107,30.848000000000003,11,4,2.7,IR,1720327192
292,kingston,17.997,-76.7936,30.168,89,75,7.2,JM,1720327194
293,upata,8.0086,-62.3989,29.77,95,77,1.39,VE,1720327195
294,castillos,-34.1667,-53.8333,27.580000000000002,85,23,1.29,UY,1720327197
295,uzgen,40.7699,73.3007,29.431,35,99,3.01,KG,1720327199
296,muisne,0.6,-80.0333,29.808999999999997,90,86,2.81,EC,1720327200
297,dwarka,22.2394,68.9678,30.25,80,100,9.12,IN,1720327202
298,mbala,-8.8402,31.3659,28.583,60,60,2.88,ZM,1720327203
299,chibougamau,49.9168,-74.3659,28.494,94,0,0.0,CA,1720327204
300,khandyga,62.6667,135.6,29.172000000000004,47,91,1.88,RU,1720327206
301,suez,29.9737,32.5263,29.826999999999998,71,1,3.13,EG,1720327207
302,fisterra,42.9049,-9.2629,28.316000000000003,76,46,2.89,ES,1720327209
303,ebon,4.582,168.6964,30.214,76,100,6.77,MH,1720327211
304,port hedland,-20.3167,118.5667,29.718,25,5,5.14,AU,1720327214
305,santo augusto,-27.8508,-53.7772,28.127999999999997,98,98,4.06,BR,1720327216
306,elverum,60.8819,11.5623,28.488999999999997,95,95,2.24,NO,1720327217
307,baranovichi,53.1327,26.0139,29.214999999999996,78,39,7.59,BY,1720327219
308,kununurra,-15.7667,128.7333,30.413999999999998,33,56,3.09,AU,1720327220
309,prince albert,53.2001,-105.7677,29.312,64,75,4.12,CA,1720327222
310,mil'kovo,55.6078,37.7956,29.262,62,11,1.54,RU,1720327223
311,plettenberg bay,-34.0527,23.3716,29.095,26,47,5.86,ZA,1720327225
